"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2025","1,021.50","992.80","1,025.00","962.79","22.84M","2.89%"
"09/22/2025","992.80","1,047.90","1,050.30","977.00","27.97M","-5.25%"
"09/21/2025","1,047.80","1,043.71","1,081.79","1,039.62","24.49M","0.37%"
"09/20/2025","1,043.90","984.10","1,043.90","983.10","16.00M","6.08%"
"09/19/2025","984.10","981.00","1,002.83","974.42","12.06M","0.32%"
"09/18/2025","981.00","989.80","1,006.30","979.71","14.51M","-0.94%"
"09/17/2025","990.29","955.91","995.00","946.20","16.61M","3.53%"
"09/16/2025","956.49","919.80","959.09","916.70","9.76M","3.99%"
"09/15/2025","919.80","926.40","935.40","910.80","9.01M","-0.72%"
"09/14/2025","926.50","933.80","944.61","922.80","7.61M","-0.78%"
"09/13/2025","933.80","924.90","943.79","922.31","11.43M","0.96%"
"09/12/2025","924.90","902.70","929.51","901.70","9.43M","2.46%"
"09/11/2025","902.70","893.69","903.99","888.71","12.88M","1.01%"
"09/10/2025","893.70","879.90","907.19","877.00","13.68M","1.57%"
"09/09/2025","879.90","878.80","884.90","871.60","5.59M","0.23%"
"09/08/2025","877.91","880.40","885.60","870.11","5.99M","-0.23%"
"09/07/2025","879.90","862.30","883.70","860.70","5.14M","2.21%"
"09/06/2025","860.90","849.80","864.70","849.50","4.47M","1.26%"
"09/05/2025","850.20","843.60","857.51","842.70","3.70M","0.77%"
"09/04/2025","843.70","854.70","856.80","841.10","6.06M","-1.29%"
"09/03/2025","854.70","851.90","864.00","848.90","3.90M","0.34%"
"09/02/2025","851.80","845.79","856.60","840.70","5.32M","0.71%"
"09/01/2025","845.79","857.60","867.30","840.00","7.60M","-1.38%"
"08/31/2025","857.60","861.90","867.60","857.00","3.45M","-0.50%"
"08/30/2025","861.90","862.20","863.80","851.70","3.27M","-0.05%"
"08/29/2025","862.30","873.51","878.00","850.50","8.44M","-1.28%"
"08/28/2025","873.51","855.50","880.98","851.32","8.29M","2.12%"
"08/27/2025","855.41","863.80","867.10","853.29","4.91M","-0.96%"
"08/26/2025","863.70","839.30","867.90","830.35","7.84M","2.92%"
"08/25/2025","839.20","876.50","880.70","833.69","13.76M","-4.25%"
"08/24/2025","876.50","880.50","886.60","860.00","10.86M","-0.47%"
"08/23/2025","880.60","900.20","900.20","875.90","9.90M","-2.14%"
"08/22/2025","899.81","839.30","900.49","839.20","11.91M","7.21%"
"08/21/2025","839.30","869.00","883.90","833.70","9.08M","-3.43%"
"08/20/2025","869.10","824.00","880.88","818.70","12.77M","5.50%"
"08/19/2025","823.81","846.60","851.80","823.10","7.23M","-2.69%"
"08/18/2025","846.60","855.20","858.50","825.30","9.83M","-0.99%"
"08/17/2025","855.11","838.60","863.79","838.20","5.44M","1.97%"
"08/16/2025","838.60","827.80","839.20","825.30","3.73M","1.29%"
"08/15/2025","827.90","840.49","853.50","812.90","7.32M","-1.49%"
"08/14/2025","840.40","848.00","869.29","821.97","20.68M","-0.90%"
"08/13/2025","848.00","832.50","858.90","828.40","17.26M","1.85%"
"08/12/2025","832.60","805.10","839.80","797.90","13.88M","3.42%"
"08/11/2025","805.10","806.90","827.20","792.60","20.84M","-0.22%"
"08/10/2025","806.90","798.80","815.40","793.70","12.18M","1.03%"
"08/09/2025","798.70","793.50","819.00","792.80","16.91M","0.67%"
"08/08/2025","793.40","788.90","798.30","781.10","31.97M","0.58%"
"08/07/2025","788.80","769.70","788.80","764.70","15.75M","2.48%"
"08/06/2025","769.70","755.01","774.90","746.50","9.53M","1.93%"
"08/05/2025","755.10","768.50","769.60","745.52","9.07M","-1.74%"
"08/04/2025","768.50","751.40","769.50","750.40","13.29M","2.28%"
"08/03/2025","751.40","736.70","755.30","730.20","9.17M","2.00%"
"08/02/2025","736.70","757.20","770.20","732.50","15.25M","-2.71%"
"08/01/2025","757.20","783.20","795.40","745.40","25.74M","-3.32%"
"07/31/2025","783.20","793.40","813.30","781.60","22.92M","-1.29%"
"07/30/2025","793.40","805.10","811.49","766.81","29.63M","-1.49%"
"07/29/2025","805.40","824.00","834.80","800.30","30.18M","-2.26%"
