"Date","Price","Open","High","Low","Vol.","Change %"
"09/25/2025","3,997.16","4,152.87","4,161.01","3,947.33","789.75K","-3.76%"
"09/24/2025","4,153.21","4,164.35","4,206.02","4,081.77","388.34K","-0.27%"
"09/23/2025","4,164.63","4,200.63","4,226.90","4,120.28","358.41K","-0.82%"
"09/22/2025","4,199.05","4,443.73","4,455.07","4,085.84","791.99K","-5.52%"
"09/21/2025","4,444.51","4,480.39","4,496.92","4,443.96","162.63K","-0.80%"
"09/20/2025","4,480.38","4,468.66","4,508.18","4,454.92","143.44K","0.26%"
"09/19/2025","4,468.66","4,593.28","4,620.57","4,440.89","365.21K","-2.59%"
"09/18/2025","4,587.65","4,590.56","4,643.15","4,554.31","321.00K","-0.06%"
"09/17/2025","4,590.56","4,501.21","4,616.50","4,432.79","517.00K","1.99%"
"09/16/2025","4,501.21","4,523.56","4,536.75","4,425.72","324.49K","-0.49%"
"09/15/2025","4,523.56","4,604.95","4,669.80","4,467.56","442.38K","-1.77%"
"09/14/2025","4,604.95","4,667.07","4,691.03","4,579.29","296.82K","-1.33%"
"09/13/2025","4,667.07","4,711.99","4,764.88","4,606.47","429.56K","-0.95%"
"09/12/2025","4,711.99","4,458.79","4,727.55","4,451.40","557.87K","5.68%"
"09/11/2025","4,458.79","4,348.71","4,468.79","4,338.89","484.91K","2.53%"
"09/10/2025","4,348.70","4,309.63","4,450.30","4,285.25","555.58K","0.91%"
"09/09/2025","4,309.63","4,308.52","4,381.56","4,277.48","448.23K","0.07%"
"09/08/2025","4,306.59","4,306.47","4,382.41","4,279.38","429.46K","0.01%"
"09/07/2025","4,306.25","4,275.92","4,334.56","4,271.62","190.89K","0.78%"
"09/06/2025","4,272.82","4,306.96","4,327.84","4,244.15","223.04K","-0.79%"
"09/05/2025","4,306.96","4,304.72","4,487.19","4,259.12","687.12K","0.22%"
"09/04/2025","4,297.66","4,451.42","4,481.61","4,265.81","517.43K","-3.44%"
"09/03/2025","4,450.68","4,323.76","4,489.97","4,283.52","525.21K","2.90%"
"09/02/2025","4,325.19","4,314.51","4,415.78","4,258.89","571.36K","0.25%"
"09/01/2025","4,314.22","4,392.75","4,491.06","4,233.39","557.96K","-1.75%"
"08/31/2025","4,391.11","4,373.73","4,497.74","4,373.73","380.84K","0.40%"
"08/30/2025","4,373.64","4,360.12","4,413.29","4,260.87","364.72K","0.33%"
"08/29/2025","4,359.20","4,511.55","4,513.67","4,268.98","750.83K","-3.42%"
"08/28/2025","4,513.55","4,505.94","4,632.15","4,438.68","529.90K","0.17%"
"08/27/2025","4,506.05","4,596.53","4,662.09","4,488.02","660.38K","-2.06%"
"08/26/2025","4,600.77","4,376.34","4,631.31","4,320.12","899.03K","5.17%"
"08/25/2025","4,374.73","4,780.14","4,796.61","4,337.83","1.12M","-8.48%"
"08/24/2025","4,779.86","4,778.43","4,955.90","4,717.60","845.37K","0.03%"
"08/23/2025","4,778.43","4,831.22","4,831.22","4,663.42","549.58K","-1.09%"
"08/22/2025","4,831.21","4,225.28","4,886.62","4,209.40","1.38M","14.36%"
"08/21/2025","4,224.52","4,336.16","4,339.33","4,205.98","481.10K","-2.56%"
"08/20/2025","4,335.37","4,075.81","4,375.03","4,069.39","775.52K","6.37%"
"08/19/2025","4,075.57","4,313.46","4,353.58","4,067.90","886.22K","-5.47%"
"08/18/2025","4,311.42","4,472.43","4,480.05","4,227.41","886.81K","-3.60%"
"08/17/2025","4,472.21","4,421.48","4,574.39","4,395.64","471.90K","1.12%"
"08/16/2025","4,422.56","4,439.55","4,489.73","4,375.78","382.87K","-0.39%"
"08/15/2025","4,440.05","4,548.30","4,665.69","4,374.40","940.29K","-2.36%"
"08/14/2025","4,547.35","4,748.71","4,787.25","4,457.23","1.37M","-4.22%"
"08/13/2025","4,747.87","4,585.82","4,782.21","4,566.19","1.01M","3.42%"
"08/12/2025","4,590.71","4,223.41","4,633.48","4,223.41","972.25K","8.70%"
"08/11/2025","4,223.42","4,250.51","4,361.60","4,168.10","791.47K","-0.63%"
"08/10/2025","4,250.18","4,260.74","4,330.30","4,163.41","534.67K","-0.25%"
"08/09/2025","4,260.74","4,010.46","4,323.72","4,007.19","759.17K","6.28%"
"08/08/2025","4,008.96","3,900.74","4,062.74","3,880.25","809.06K","2.53%"
"08/07/2025","3,909.96","3,681.64","3,925.12","3,649.75","688.92K","6.15%"
"08/06/2025","3,683.36","3,609.32","3,697.70","3,565.08","401.22K","1.98%"
"08/05/2025","3,611.69","3,718.66","3,719.30","3,548.52","528.41K","-2.93%"
"08/04/2025","3,720.89","3,499.23","3,734.29","3,491.16","514.08K","6.42%"
"08/03/2025","3,496.26","3,403.62","3,521.19","3,358.01","326.76K","3.02%"
"08/02/2025","3,393.92","3,495.06","3,537.10","3,374.76","546.44K","-2.71%"
"08/01/2025","3,488.36","3,695.36","3,724.02","3,433.97","871.70K","-5.68%"
"07/31/2025","3,698.46","3,807.11","3,877.70","3,685.32","576.38K","-2.90%"
"07/30/2025","3,808.91","3,791.80","3,833.91","3,682.25","586.47K","0.39%"
"07/29/2025","3,793.94","3,793.22","3,884.94","3,717.75","648.34K","-0.08%"
"07/28/2025","3,796.91","3,866.14","3,940.69","3,755.56","684.41K","-1.93%"
"07/27/2025","3,871.74","3,740.60","3,878.07","3,732.33","501.29K","3.50%"
"07/26/2025","3,740.86","3,722.46","3,791.74","3,701.40","442.97K","0.43%"
"07/25/2025","3,725.01","3,704.65","3,744.99","3,577.93","833.98K","0.56%"
"07/24/2025","3,704.21","3,625.33","3,770.91","3,509.40","832.35K","2.13%"
"07/23/2025","3,626.81","3,745.74","3,763.49","3,529.45","870.81K","-3.18%"
"07/22/2025","3,745.84","3,761.58","3,798.65","3,620.83","945.19K","-0.41%"
"07/21/2025","3,761.37","3,756.65","3,855.65","3,702.27","893.14K","0.11%"
"07/20/2025","3,757.32","3,590.40","3,818.91","3,579.26","957.57K","4.60%"
"07/19/2025","3,591.98","3,544.29","3,607.53","3,509.90","455.77K","1.31%"
"07/18/2025","3,545.58","3,473.00","3,672.61","3,462.09","1.30M","2.09%"
"07/17/2025","3,472.90","3,372.74","3,519.86","3,314.38","1.13M","2.94%"
"07/16/2025","3,373.85","3,137.94","3,423.83","3,101.21","1.32M","7.49%"
"07/15/2025","3,138.89","3,010.34","3,141.56","2,935.11","960.31K","4.16%"
"07/14/2025","3,013.63","2,972.35","3,080.84","2,963.41","974.19K","1.41%"
"07/13/2025","2,971.67","2,940.26","3,018.80","2,937.62","447.36K","1.00%"
"07/12/2025","2,942.36","2,958.00","2,979.23","2,904.98","414.19K","-0.52%"
"07/11/2025","2,957.71","2,949.48","3,038.28","2,916.36","1.10M","0.22%"
"07/10/2025","2,951.20","2,768.62","2,998.39","2,755.98","1.09M","6.61%"
"07/09/2025","2,768.27","2,614.22","2,792.73","2,590.33","802.25K","5.89%"
"07/08/2025","2,614.41","2,542.35","2,626.96","2,524.00","443.16K","2.83%"
"07/07/2025","2,542.35","2,570.48","2,589.45","2,517.89","370.52K","-1.10%"
"07/06/2025","2,570.57","2,516.61","2,600.59","2,503.63","338.45K","2.16%"
"07/05/2025","2,516.30","2,508.02","2,529.70","2,487.93","192.73K","0.33%"
"07/04/2025","2,508.02","2,591.20","2,601.01","2,474.68","516.84K","-3.20%"
"07/03/2025","2,590.98","2,570.23","2,633.54","2,557.15","577.47K","0.81%"
"07/02/2025","2,570.23","2,405.07","2,617.88","2,381.67","723.08K","6.86%"
"07/01/2025","2,405.26","2,485.48","2,499.93","2,389.74","405.62K","-3.27%"
"06/30/2025","2,486.52","2,500.27","2,521.92","2,435.73","503.14K","-0.56%"
"06/29/2025","2,500.42","2,436.48","2,522.64","2,414.78","330.66K","2.66%"
"06/28/2025","2,435.58","2,423.13","2,447.58","2,406.29","187.18K","0.53%"
"06/27/2025","2,422.65","2,415.58","2,462.73","2,389.02","443.77K","0.29%"
"06/26/2025","2,415.71","2,418.51","2,519.90","2,394.99","547.43K","-0.11%"
"06/25/2025","2,418.43","2,448.42","2,467.23","2,393.47","497.52K","-1.23%"
"06/24/2025","2,448.66","2,410.64","2,478.98","2,377.26","605.39K","1.58%"
"06/23/2025","2,410.48","2,227.73","2,431.24","2,189.79","847.43K","8.18%"
"06/22/2025","2,228.13","2,295.96","2,313.00","2,115.66","948.76K","-2.92%"
"06/21/2025","2,295.26","2,406.48","2,448.11","2,220.62","559.63K","-4.62%"
"06/20/2025","2,406.51","2,520.66","2,568.58","2,377.42","714.24K","-4.55%"
"06/19/2025","2,521.11","2,525.35","2,546.31","2,485.11","289.13K","-0.17%"
"06/18/2025","2,525.35","2,509.61","2,545.80","2,468.33","564.96K","0.63%"
"06/17/2025","2,509.59","2,530.61","2,616.83","2,455.95","788.11K","-1.16%"
"06/16/2025","2,538.95","2,547.58","2,678.91","2,517.01","743.68K","-0.34%"
"06/15/2025","2,547.58","2,532.33","2,557.76","2,493.21","336.18K","0.64%"
"06/14/2025","2,531.39","2,573.16","2,574.13","2,491.10","367.98K","-1.84%"
"06/13/2025","2,578.83","2,639.50","2,639.50","2,447.78","1.31M","-2.45%"
"06/12/2025","2,643.70","2,771.72","2,784.39","2,621.67","776.74K","-4.63%"
"06/11/2025","2,772.11","2,813.27","2,877.92","2,745.91","932.96K","-1.55%"
"06/10/2025","2,815.73","2,680.07","2,825.63","2,657.28","1.25M","5.06%"
"06/09/2025","2,680.07","2,509.84","2,693.39","2,477.91","617.77K","6.78%"
"06/08/2025","2,509.84","2,524.66","2,545.64","2,492.16","290.34K","-0.59%"
"06/07/2025","2,524.66","2,476.45","2,541.91","2,457.03","286.60K","1.99%"
"06/06/2025","2,475.34","2,414.29","2,528.84","2,385.68","625.00K","2.53%"
"06/05/2025","2,414.36","2,607.10","2,640.14","2,394.08","900.97K","-7.39%"
"06/04/2025","2,607.13","2,591.81","2,675.16","2,583.93","578.93K","0.54%"
"06/03/2025","2,593.03","2,603.71","2,651.52","2,581.28","524.35K","-0.53%"
"06/02/2025","2,606.81","2,537.46","2,614.71","2,476.48","513.95K","2.73%"
"06/01/2025","2,537.51","2,526.39","2,547.03","2,471.06","363.69K","0.37%"
"05/31/2025","2,528.09","2,534.29","2,550.02","2,486.16","427.56K","-0.13%"
"05/30/2025","2,531.29","2,631.31","2,648.56","2,509.60","843.03K","-3.84%"
"05/29/2025","2,632.50","2,681.21","2,784.23","2,622.01","906.21K","-1.82%"
"05/28/2025","2,681.20","2,660.60","2,688.44","2,609.25","632.98K","0.76%"
"05/27/2025","2,660.88","2,562.86","2,711.72","2,512.16","891.74K","3.78%"
"05/26/2025","2,563.84","2,551.13","2,596.93","2,529.71","406.92K","0.50%"
"05/25/2025","2,551.20","2,530.68","2,553.95","2,467.77","394.65K","0.86%"
"05/24/2025","2,529.32","2,524.39","2,575.62","2,516.82","284.44K","0.11%"
"05/23/2025","2,526.46","2,664.62","2,731.76","2,503.87","1.07M","-5.15%"
"05/22/2025","2,663.77","2,545.88","2,692.31","2,545.70","962.37K","4.40%"
"05/21/2025","2,551.42","2,523.42","2,614.54","2,454.72","1.21M","1.09%"
"05/20/2025","2,523.82","2,528.23","2,587.21","2,446.16","751.55K","-0.17%"
"05/19/2025","2,528.21","2,498.79","2,543.42","2,352.64","961.23K","1.17%"
"05/18/2025","2,498.97","2,475.04","2,585.12","2,340.94","905.26K","0.97%"
"05/17/2025","2,475.04","2,537.14","2,537.14","2,449.57","566.93K","-2.44%"
"05/16/2025","2,537.04","2,545.46","2,646.74","2,531.45","680.35K","-0.44%"
"05/15/2025","2,548.16","2,610.78","2,644.57","2,480.73","862.28K","-2.36%"
"05/14/2025","2,609.68","2,680.04","2,719.25","2,549.01","928.09K","-2.63%"
"05/13/2025","2,680.05","2,494.95","2,734.04","2,418.44","1.15M","7.39%"
"05/12/2025","2,495.73","2,515.22","2,621.09","2,413.02","1.19M","-0.77%"
"05/11/2025","2,515.22","2,583.94","2,594.80","2,440.65","924.22K","-2.65%"
"05/10/2025","2,583.78","2,345.27","2,597.68","2,322.81","1.13M","10.17%"
"05/09/2025","2,345.27","2,207.18","2,485.98","2,185.92","1.79M","6.31%"
"05/08/2025","2,206.13","1,811.20","2,225.02","1,809.09","1.61M","21.80%"
"05/07/2025","1,811.20","1,816.71","1,849.05","1,788.76","520.17K","-0.30%"
"05/06/2025","1,816.60","1,820.34","1,820.47","1,754.38","436.53K","-0.21%"
"05/05/2025","1,820.34","1,809.06","1,832.02","1,783.66","382.49K","0.62%"
"05/04/2025","1,809.05","1,833.94","1,849.68","1,803.91","267.55K","-1.36%"
"05/03/2025","1,833.93","1,842.06","1,848.21","1,812.76","251.34K","-0.44%"
"05/02/2025","1,842.06","1,838.09","1,869.96","1,814.42","464.79K","0.20%"
"05/01/2025","1,838.32","1,793.62","1,872.73","1,792.54","606.44K","2.49%"
"04/30/2025","1,793.58","1,798.40","1,816.38","1,736.41","533.70K","-0.27%"
"04/29/2025","1,798.47","1,799.26","1,841.95","1,781.40","537.56K","-0.04%"
"04/28/2025","1,799.24","1,790.21","1,826.35","1,748.24","681.19K","0.44%"
"04/27/2025","1,791.42","1,820.65","1,854.66","1,785.03","378.99K","-1.61%"
"04/26/2025","1,820.65","1,784.58","1,835.72","1,779.80","399.27K","1.94%"
"04/25/2025","1,785.96","1,769.60","1,825.49","1,739.39","664.67K","0.93%"
