"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2025","1.0009","1.0012","1.0014","1.0008","287.50M","0.02%"
"09/22/2025","1.0008","1.0012","1.0015","1.0005","739.60M","0.03%"
"09/21/2025","1.0005","1.0004","1.0010","1.0003","225.92M","0.01%"
"09/20/2025","1.0004","1.0011","1.0012","1.0003","345.55M","-0.02%"
"09/19/2025","1.0006","1.0002","1.0007","1.0001","320.28M","0.03%"
"09/18/2025","1.0002","1.0002","1.0005","1.0000","417.41M","0.00%"
"09/17/2025","1.0002","1.0003","1.0006","1.0002","396.44M","0.00%"
"09/16/2025","1.0002","1.0005","1.0012","1.0000","416.24M","-0.02%"
"09/15/2025","1.0005","1.0004","1.0012","1.0002","408.33M","0.01%"
"09/14/2025","1.0004","1.0004","1.0006","0.9999","247.00M","0.00%"
"09/13/2025","1.0004","1.0004","1.0004","0.9996","410.69M","-0.01%"
"09/12/2025","1.0004","1.0001","1.0008","0.9996","731.77M","0.03%"
"09/11/2025","1.0001","1.0001","1.0003","0.9998","537.93M","0.01%"
"09/10/2025","1.0001","1.0001","1.0011","1.0000","337.32M","0.00%"
"09/09/2025","1.0001","0.9999","1.0001","0.9997","375.78M","0.01%"
"09/08/2025","0.9999","1.0001","1.0006","0.9998","435.97M","-0.02%"
"09/07/2025","1.0001","1.0002","1.0009","0.9997","117.07M","-0.01%"
"09/06/2025","1.0002","0.9998","1.0011","0.9991","126.39M","0.02%"
"09/05/2025","0.9999","1.0001","1.0008","0.9999","280.74M","-0.02%"
"09/04/2025","1.0001","1.0003","1.0008","1.0000","354.34M","-0.03%"
"09/03/2025","1.0004","1.0002","1.0008","1.0002","227.76M","0.02%"
"09/02/2025","1.0002","1.0001","1.0009","1.0001","308.29M","0.01%"
"09/01/2025","1.0001","1.0007","1.0012","1.0001","217.69M","-0.05%"
"08/31/2025","1.0007","1.0005","1.0009","1.0005","170.00M","0.01%"
"08/30/2025","1.0005","1.0004","1.0009","1.0004","156.74M","0.01%"
"08/29/2025","1.0004","1.0003","1.0011","1.0003","350.88M","0.02%"
"08/28/2025","1.0003","1.0003","1.0007","1.0002","284.94M","0.00%"
"08/27/2025","1.0003","1.0004","1.0009","1.0002","264.05M","-0.01%"
"08/26/2025","1.0004","1.0004","1.0009","1.0002","430.84M","0.00%"
"08/25/2025","1.0004","1.0002","1.0009","1.0001","420.92M","0.02%"
"08/24/2025","1.0002","0.9999","1.0003","0.9999","208.60M","0.03%"
"08/23/2025","0.9999","1.0000","1.0004","0.9998","122.56M","0.00%"
"08/22/2025","1.0000","1.0003","1.0011","0.9999","361.38M","-0.03%"
"08/21/2025","1.0003","1.0004","1.0010","1.0002","273.06M","-0.01%"
"08/20/2025","1.0004","1.0005","1.0013","1.0003","430.46M","-0.01%"
"08/19/2025","1.0005","1.0007","1.0012","1.0003","522.91M","-0.02%"
"08/18/2025","1.0007","1.0006","1.0010","1.0006","478.05M","0.01%"
"08/17/2025","1.0006","1.0006","1.0012","1.0003","244.89M","0.00%"
"08/16/2025","1.0006","1.0007","1.0011","1.0005","431.27M","-0.01%"
"08/15/2025","1.0007","1.0006","1.0010","1.0003","518.68M","0.01%"
"08/14/2025","1.0006","0.9999","1.0007","0.9992","791.34M","0.07%"
"08/13/2025","0.9999","0.9997","1.0002","0.9994","569.08M","0.02%"
